,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Distribution Wires Down 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL WIRE-DOWN SUSTAINED OUTAGE DETAILS (2015-2019),,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRIBUTION CIRCUIT OUTAGES ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Including 2.5b ME Days, Transformer-Only, and Secondary & Service Conductor Wire-Down Outages; Excluding Fire Mitigation Outages))",,,,,,,,,,,,,,,,,,,,,,,,,,
Division,District Name,Feeder Name,Feeder #,Device,Oper #,Out Date,FNL,In Date,"In
Time",OIS #,Duration,Outage Level,Basic Cause,Supplemental Cause,CESO,C Min,"Open Point
Latitude","Open Point
Longitude",Fault Location,Weather,Failed Equipment,"Failed Equipment
Condition",Event #,"Const
Type",Sus/Mom,Tier
FRESNO       ,FRESNO          ,MALAGA-1102                 ,254251102,RECLOSER     ,R45                                               ,20180126,1117,20180126,1421,14615,138,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,459,"22,364",36.67711,-119.69994,"BLAKE, GREG/559-246-0074: central and clovis                                                        ",Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0009318,OH,Sus,Non 2/3  
NORTH VALLEY ,OROVILLE        ,WYANDOTTE-1105              ,102911105,OTHER        ,1102,20150402,0939,20150402,1156,1211660,137,Distribution Circuit      ,Equipment Failure/Involved  ,Other                                ,"1,073","100,204",0.00000,0.00000,8/P/N/OF 5473                                                                                       ,Overcast;32-90 F                                                ,Connector or Splice (OH)    ,"Broken, wire on ground      ",15-0023747,OH,Sus,Non 2/3  
CENTRAL COAST,COAST           ,PAUL SWEET-2104             ,083252104,RECLOSER     ,38286,20150512,0653,20150512,0910,1233067,137,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"1,155","157,347",36.97377,-121.96604,Capitola and Thompson Rd wire down                                                                  ,Clear;32 - 90 F                                                 ,"Conductor, Overhead         ","Broken, wire on object      ",15-0033469,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,MANCHESTER-1109             ,253921109,TRANSFORMER  ,417710352047,20150811,0145,20150811,0402,1286307,137,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,16,"2,192",36.76094,-119.78265,MTR#1004429966                                                                                      ,Clear;32-90 F                                                   ,Secondary                   ,"Broken, wire on ground      ",15-0054209,OH,Sus,Non 2/3  
EAST BAY     ,CENTRAL         ,OAKLAND L-1101              ,012111101,SWITCH       ,708,20170325,0246,20170325,0503,1735122,137,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,182,"24,934",37.81956,-122.28239,"1229 28TH ST., OAKLAND                                                                              ",Overcast;32-90 F                                                ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0033655,OH,Sus,Non 2/3  
LOS PADRES   ,SANTA MARIA     ,MESA-1102                   ,182821102,JUMPER       ,WIRE DOWN                                         ,20170512,1206,20170512,1423,1780850,137,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,5,481,34.95102,-120.58903,W MAIN ST. GUADALUPE                                                                                ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0047599,OH,Sus,Non 2/3  
NORTH VALLEY ,TEHEMA          ,CORNING-1102                ,103331102,RECLOSER     ,1900,20171216,1610,20171216,1827,1945641,137,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,381,"19,033",39.94287,-122.21765,LD SIDE OF 99999                                                                                    ,Clear;32-90 F                                                   ,"PGs, Kearneys               ","Broken, wire on ground      ",17-0102177,OH,Sus,Non 2/3  
SACRAMENTO   ,YOLO            ,WEST SACRAMENTO-1109        ,063131109,TRANSFORMER  ,221392133741,20190214,1201,20190214,1418,308850,137,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,12,"1,644",38.59211,-121.51408,"HESTEAD, NICK: 604 WELLAND WAY                                                                      ","Overcast,Drizzle,Strong Winds;32-90 F                           ","Conductor, Overhead         ","Broken, wire on ground      ",19-0023176,OH,Sus,Non 2/3  
DIABLO       ,DIABLO          ,LAKEWOOD-1104               ,013531104,TRANSFORMER  ,315469152149,20160204,1018,20160204,1234,1398238,136,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,6,816,37.92174,-122.07178,"1780 SECOND AVE, WALNUT CREEK                                                                       ",Partly Cloudy;32-90 F                                           ,Secondary                   ,"Broken, wire on ground      ",16-0010597,OH,Sus,Non 2/3  
NORTH VALLEY ,LAS PLUMAS      ,BIG MEADOWS-2101            ,102812101,RECLOSER     ,2248,20170207,1400,20170207,1616,1680318,136,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,975,"132,600",40.17052,-121.08074,W SIDE OF SW 433                                                                                    ,"Overcast,Drizzle;32-90 F                                        ","Conductor, Overhead         ","Broken, wire on ground      ",17-0018641,OH,Sus,Tier 2   
FRESNO       ,FRESNO          ,WAHTOKE-1107                ,254531107,OTHER        ,WIRE DOWN                                         ,20190727,2122,20190727,2338,473682,136,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,125,"11,960",36.56448,-119.44865,CORNER OF RD 56 ABD AVE 426                                                                         ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0081883,OH,Sus,Non 2/3  
SACRAMENTO   ,SOLANO          ,PEABODY-2107                ,063642107,JUMPER       ,OJ'S ON MAIN PRAIRIE AND PEDRICK                  ,20150803,1252,20150803,1507,1281955,135,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,11,"1,485",0.00000,0.00000,MTR# 1004537651                                                                                     ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",15-0052348,OH,Sus,Non 2/3  
KERN         ,KERN            ,BAKERSFIELD-1102            ,253371102,TRANSFORMER  ,517026468761,20150816,1920,20150816,2135,1289497,135,Transformer only          ,Equipment Failure/Involved  ,Electrical Overload                  ,10,"1,350",35.38534,-118.99845,"WATERS,GREGG_1814_661-809-8744: R/O 206 OREGON ST                                                   ",Clear;Above 90                                                  ,Secondary                   ,"Broken, wire on object      ",15-0055373,OH,Sus,Non 2/3  
YOSEMITE     ,YOSEMITE        ,WILSON-1102                 ,254301102,FUSE         ,983543,20170504,1000,20170504,1215,1774472,135,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,13,"1,755",37.31877,-120.36056,2 N/OF FUCO 983543                                                                                  ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0045212,OH,Sus,Non 2/3  
HUMBOLDT     ,GARBERVILLE     ,GARBERVILLE-1101            ,192221101,RECLOSER     ,1770,20191207,0426,20191207,0641,732149,135,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,351,"12,609",39.91531,-123.76336,13 SPANS LD SIDE OF LR 1770                                                                         ,Clear;32-90 F                                                   ,Pole-Wood                   ,"Broken, wire on ground      ",19-0134672,OH,Sus,Tier 2   
SACRAMENTO   ,MARYSVILLE      ,CATLETT-1105                ,153761105,FUSE         ,77103,20151214,1709,20151214,1923,1363738,134,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,3,402,38.78353,-121.61070,METER 482763R                                                                                       ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ",On Ground                   ,15-0085376,OH,Sus,Non 2/3  
NORTH VALLEY ,CHICO           ,SYCAMORE CREEK-1105         ,102971105,JUMPER       ,HOT WIRE DOWN LD SIDE OF 1765                     ,20170510,0553,20170510,0807,1779046,134,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"3,193","64,779",39.74695,-121.83023,FUCO 1765                                                                                           ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0046729,OH,Sus,Non 2/3  
LOS PADRES   ,SANTA MARIA     ,SANTA MARIA-1109            ,182671109,TRANSFORMER  ,512666853756,20171011,1216,20171011,1430,1898486,134,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,17,"2,278",34.95268,-120.44858,"ENGLE, TODD: 930 W.Main st.                                                                         ",Partly Cloudy;32-90 F                                           ,Secondary                   ,"Broken, wire on ground      ",17-0086347,OH,Sus,Non 2/3  
CENTRAL COAST,SALINAS         ,CASTROVILLE-2103            ,182352103,JUMPER       ,OJS 4/SPANS/N/OF 41677                            ,20181221,1232,20181221,1446,245151,134,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,1,134,36.71370,-121.69845,METER 1009983807                                                                                    ,Clear;32-90 F                                                   ,Connector or Splice (OH)    ,"Broken, wire on ground      ",18-0110268,OH,Sus,Non 2/3  
EAST BAY     ,BAY             ,EL CERRITO G-1101           ,012501101,TRANSFORMER  ,314739252476,20190312,1357,20190312,1611,337324,134,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,48,"6,306",37.92713,-122.32501,4817 OVEREND                                                                                        ,Clear;32-90 F                                                   ,Secondary                   ,"Broken, wire on ground      ",19-0033050,OH,Sus,Non 2/3  
YOSEMITE     ,YOSEMITE        ,CANAL-1101                  ,252091101,FUSE         ,2182,20150120,1300,20150120,1513,1166145,133,Distribution Circuit      ,Equipment Failure/Involved  ,Other                                ,1,133,0.00000,0.00000,Stewart / 2037 / 675-0335: co-2182                                                                  ,Clear;32-90 F                                                   ,"Conductor, Overhead         ",On Ground                   ,15-0005726,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,KINGSBURG-1116              ,252241116,RECLOSER     ,6000,20170417,2330,20170418,0143,1759857,133,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,87,"11,571",36.51821,-119.68450,1 W/OF & 1 S/OF 6000                                                                                ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0040955,OH,Sus,Non 2/3  
CENTRAL COAST,MONTEREY        ,DEL MONTE-1101              ,182221101,TRANSFORMER  ,411710848108,20180105,0816,20180105,1029,2464,133,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,23,"1,919",36.62075,-121.82614,"Rodriguez, Lou 5809/ 233-0361: 2040-2050 Buchanan st                                                ","Overcast,Fog,Drizzle;32-90 F                                    ",Secondary                   ,On Ground                   ,18-0003792,OH,Sus,Non 2/3  
SACRAMENTO   ,MARYSVILLE      ,HARTER-1105                 ,152851105,JUMPER       ,WIRE DOWN 6/S/OF 6997                             ,20190120,0931,20190120,1144,277162,133,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,12,"1,506",39.10829,-121.67180,6/S/OF 6997                                                                                         ,"Overcast,Fog,Rain;32-90 F                                       ","Conductor, Overhead         ","Broken, wire on ground      ",19-0012524,OH,Sus,Non 2/3  
CENTRAL COAST,HOLLISTER       ,SAN JUSTO-1101              ,183181101,RECLOSER     ,4712,20190214,1405,20190214,1618,309567,133,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,643,"17,425",36.85645,-121.51264,4 SPAN L/S OF 50229                                                                                 ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0023341,OH,Sus,Non 2/3  
NORTH VALLEY ,CHICO           ,BUTTE-1107                  ,103081107,FUSE         ,1617,20191025,1338,20191025,1551,680507,133,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,6,798,39.63839,-121.88400,@ MTR# 1007907951                                                                                   ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0116219,OH,Sus,Non 2/3  
NORTH VALLEY ,SHASTA          ,DESCHUTES-1104              ,103351104,JUMPER       ,WIRE DOWN AT MTR 1006195670                       ,20160308,1508,20160308,1720,1425402,132,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,224,"25,158",40.61884,-122.23285,MTR 1006195670                                                                                      ,Overcast;32-90 F                                                ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0019293,OH,Sus,Non 2/3  
NORTH BAY    ,NORTH BAY       ,ALTO-1125                   ,042031125,TRANSFORMER  ,314117251266,20190402,1219,20190402,1431,352479,132,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,9,"1,188",37.89052,-122.53983,"KNIFFIN, ANDREW 707-548-4583: 978 GREENHILL RD                                                      ",Overcast;32-90 F                                                ,Secondary                   ,"Broken, wire on ground      ",19-0039143,OH,Sus,Tier 3   
FRESNO       ,FRESNO          ,WEST FRESNO-1112            ,253731112,OCB          ,1112/2                                            ,20150911,2226,20150912,0037,1304311,131,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,691,"31,469",36.71794,-119.81893,1 W/OF SW 804                                                                                       ,Partly Cloudy;32-90 F                                           ,Connector or Splice (OH)    ,"Broken, wire on ground      ",15-0060947,OH,Sus,Non 2/3  
SACRAMENTO   ,COLUSA          ,RICE-1101                   ,062831101,FUSE         ,3195,20160328,1118,20160328,1329,1439817,131,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,11,"1,441",39.36185,-121.90879,"4 P SS OF MTR#1009910515,BROKEN XARM @ MTR#3489T1                                                   ",Partly Cloudy;32-90 F                                           ,Pole-Wood                   ,"Broken, wire on ground      ",16-0024411,OH,Sus,Non 2/3  
SACRAMENTO   ,YOLO            ,MADISON-1105                ,063171105,FUSE         ,1989,20170328,1356,20170328,1607,1737674,131,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,63,"5,652",38.71896,-121.95363,w/o mtr 1006185730                                                                                  ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0034544,OH,Sus,Non 2/3  
PENINSULA    ,SKYLINE         ,SF H MARTIN-1101            ,022101101,FUSE         ,10257,20171110,0824,20171110,1035,1919905,131,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,13,"1,276",37.70101,-122.40863,27 INDUSTRIAL                                                                                       ,"Overcast,Drizzle;32-90 F                                        ",Pole-Wood                   ,"Broken, wire on ground      ",17-0094174,OH,Sus,Non 2/3  
SACRAMENTO   ,MARYSVILLE      ,WHEATLAND-1102              ,152811102,FUSE         ,15941,20160320,1012,20160320,1222,1434589,130,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,6,460,39.00787,-121.44675,4594 CARDINAL WAY                                                                                   ,Overcast;32-90 F                                                ,Service conductor           ,"Broken, wire on ground      ",16-0022738,OH,Sus,Non 2/3  
YOSEMITE     ,YOSEMITE        ,MARIPOSA-2101               ,254452101,TRANSFORMER  ,321926836451,20160526,0840,20160526,1050,1477390,130,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,1,130,37.49921,-119.83683,                                                                                                    ,Partly Cloudy;32-90 F                                           ,Pole-Wood                   ,"Broken, wire on ground      ",16-0038679,OH,Sus,Tier 2   
CENTRAL COAST,SALINAS         ,SPENCE-1123                 ,182201123,FUSE         ,25087,20171114,0926,20171114,1136,1921955,130,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,1,130,36.62300,-121.51944,2 SPANS LOAD SIDE                                                                                   ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0094873,OH,Sus,Non 2/3  
NORTH VALLEY ,SHASTA          ,GIRVAN-1102                 ,103401102,OCB          ,1102/2                                            ,20191207,1004,20191207,1214,732480,130,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"1,408","182,187",40.51343,-122.37896,HWY 273 & BRESLAUER 2/P/S/OF C363                                                                   ,"Overcast,Rain;32-90 F                                           ",Connector or Splice (OH)    ,"Broken, wire on ground      ",19-0134726,OH,Sus,Non 2/3  
SAN JOSE     ,SAN JOSE        ,SAN JOSE B-1105             ,082261105,TRANSFORMER  ,T12855                                            ,20150613,0006,20150613,0215,1250154,129,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,3,387,37.34883,-121.89970,SAME                                                                                                ,Clear;32 - 90 F                                                 ,Secondary                   ,"Broken, wire on ground      ",15-0040790,OH,Sus,Non 2/3  
CENTRAL COAST,COAST           ,CAMP EVERS-2105             ,083622105,FUSE         ,10457,20150901,1416,20150901,1625,1298411,129,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,16,"2,064",37.10869,-122.04597,2 SPANS E/O FUSES 10457 ON COLEMAN                                                                  ,Clear;32-90 F                                                   ,Secondary                   ,"Broken, wire on ground      ",15-0058717,OH,Sus,Tier 3   
STOCKTON     ,DELTA           ,WEBER-1105                  ,163481105,OCB          ,1105/2                                            ,20190528,1301,20190528,1510,391862,129,Distribution Circuit      ,Equipment Failure/Involved  ,Other                                ,"5,454","158,947",37.91988,-121.24051,"METROVICH, METRO // 1633: pock and long island                                                      ",Clear;32-90 F                                                   ,Connector or Splice (OH)    ,"Broken, wire on ground      ",19-0058540,OH,Sus,Non 2/3  
NORTH VALLEY ,OROVILLE        ,KANAKA-1101                 ,103221101,JUMPER       ,OJ COR NEW YORK AND SESAME                        ,20170109,1547,20170109,1755,1631669,128,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,4,512,39.44833,-121.25711,CORNER OF NEW YORK & SESAME                                                                         ,"Overcast,Fog,Rain;32-90 F                                       ","Conductor, Overhead         ","Broken, wire on ground      ",17-0006215,OH,Sus,Tier 3   
SACRAMENTO   ,MARYSVILLE      ,BOGUE-1103                  ,153781103,FUSE         ,9115,20180717,2307,20180718,0115,134299,128,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,23,"2,944",39.12722,-121.63400,4 SPANS LD SIDE OF 9115                                                                             ,Clear;32-90F                                                    ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0060869,OH,Sus,Non 2/3  
DE ANZA      ,DE ANZA         ,SARATOGA-1104               ,083371104,TRANSFORMER  ,315606528443,20190116,1730,20190116,1938,268678,128,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,6,768,37.27136,-122.01078,13595 WENDY                                                                                         ,"Overcast,Heavy Rain,Strong Winds;32-90 F                        ",Secondary                   ,"Broken, wire on ground      ",19-0009976,OH,Sus,Non 2/3  
SACRAMENTO   ,MARYSVILLE      ,MARYSVILLE-1107             ,152011107,JUMPER       ,WIRE DOWN @ MTR# 1008765820                       ,20151004,0847,20151004,1054,1316620,127,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,219,"16,464",39.15120,-121.61780,NEAR MTR# 1008765820                                                                                ,Clear;32-90 F                                                   ,"Conductor, Overhead         ",On Ground                   ,15-0067788,OH,Sus,Non 2/3  
LOS PADRES   ,SANTA MARIA     ,FAIRWAY-1107                ,182061107,FUSE         ,46253,20160428,1241,20160428,1448,1460983,127,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,2,254,34.92080,-120.49839,BETWEEN FUCO 46253 & TAKEOFF POLE                                                                   ,Overcast;32-90 F                                                ,"Conductor, Overhead         ","Broken, wire on ground      ",16-0032393,OH,Sus,Non 2/3  
PENINSULA    ,PENINSULA       ,BAY MEADOWS-2101            ,024012101,OCB          ,2101/2                                            ,20170618,1804,20170618,2011,1808679,127,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"11,173","744,538",37.55165,-122.29253,"CAVANAUGH/ 276 (1276): IRO 1880 S NORFOLK ST, SAN MATEO                                             ","Clear,Heat Wave;32-90 F                                         ",Anchor or Guy               ,"Broken, wire on ground      ",17-0056195,OH,Sus,Non 2/3  
SACRAMENTO   ,YOLO            ,DEEPWATER-1107              ,063621107,OTHER        ,WIRE DOWN 2355 DAVIS RD                           ,20171008,1739,20171008,1946,1893647,127,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,211,"20,460",38.53151,-121.54336,CGC 221308031515/2355 DAVIS RD                                                                      ,Partly Cloudy;32-90 F                                           ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0085163,OH,Sus,Non 2/3  
HUMBOLDT     ,UKIAH           ,ELK-1101                    ,042981101,JUMPER       ,WIRE DOWN 2 SP LD SIDE OF 9775                    ,20180609,1323,20180609,1530,s1355286,127,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,2,254,38.97251,-123.68198,2 SPANS LD SIDE OF 9775                                                                             ,Clear;32-90F                                                    ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0049072,OH,Sus,Non 2/3  
DIABLO       ,DIABLO          ,FAIRVIEW-2207               ,013432207,TRANSFORMER  ,315425255534,20180806,1123,20180806,1330,149828,127,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,21,"2,667",38.01440,-122.08898,"PERRY,RICHAR 650-222-6719 2186: 4253 arthur rd                                                      ",Clear;32-90F                                                    ,Secondary                   ,"Broken, wire on ground      ",18-0067088,OH,Sus,Non 2/3  
EAST BAY     ,CENTRAL         ,OAKLAND X-1106              ,012541106,OCB          ,1106/12                                           ,20181122,1954,20181122,2201,222361,127,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"2,438","212,873",37.80542,-122.23208,WIRE DOWN BET: 9790 & 1964 ON THE MAINLINE                                                          ,"Overcast,Drizzle;32-90 F                                        ","Conductor, Overhead         ","Broken, wire on ground      ",18-0102405,OH,Sus,Non 2/3  
LOS PADRES   ,SANTA MARIA     ,SANTA MARIA-1109            ,182671109,FUSE         ,45661,20190314,1217,20190314,1424,339348,127,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,3,361,34.95800,-120.54712,11 SP LD SIDE OF 45661                                                                              ,Clear;32-90 F                                                   ,Connector or Splice (OH)    ,"Broken, wire on ground      ",19-0033859,OH,Sus,Non 2/3  
YOSEMITE     ,YOSEMITE        ,WOODWARD-2108               ,255292108,TRANSFORMER  ,322234918627,20161128,1230,20161128,1436,1590575,126,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,324,"4,002",37.00910,-119.73674,MTR#1005104922                                                                                      ,Partly Cloudy;32-90 F                                           ,Connector or Splice (OH)    ,"Broken, wire on ground      ",16-0082698,OH,Sus,Non 2/3  
KERN         ,KERN            ,WHEELER RIDGE-1103          ,253481103,OCB          ,1103/2                                            ,20191222,0806,20191222,1012,748136,126,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,193,"24,318",35.08905,-118.97666,"Barnachia, J_2494_661-623-3830: 1 Pole south of SW 2095                                             ","Clear,Strong Winds;32-90 F                                      ","Conductor, Overhead         ","Broken, wire on ground      ",19-0137518,OH,Sus,Non 2/3  
FRESNO       ,FRESNO          ,ASHLAN AVE-2105             ,252052105,TRANSFORMER  ,417634654037,20150824,1310,20150824,1515,1293753,125,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,15,"1,785",36.81518,-119.80937,"BLAKE, GREG: 1066 W SAN MADELE                                                                      ",Clear;Above 90                                                  ,Secondary                   ,"Broken, wire on object      ",15-0056992,OH,Sus,Non 2/3  
DIABLO       ,DIABLO          ,MEADOW LANE-2105            ,014302105,OCB          ,2105/2                                            ,20180104,1026,20180104,1231,1845,125,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"2,442","160,389",37.96343,-122.05211,@ LINE AND BUCK ON MOHR LN AND MONUMENT BLVD                                                        ,Overcast;32-90 F                                                ,"Conductor, Overhead         ","Broken, wire on ground      ",18-0003568,OH,Sus,Non 2/3  
HUMBOLDT     ,UKIAH           ,WILLITS-1104                ,042661104,JUMPER       ,WIRE DOWN AT 3329 PRIMEROSE DR                    ,20180413,1327,20180413,1542,66434,125,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,947,"77,795",39.42564,-123.39455,3329 PRIMEROSE DR - WILLITS                                                                         ,Clear;32-90 F                                                   ,Connector or Splice (OH)    ,"Broken, wire on ground      ",18-0032126,OH,Sus,Tier 3   
LOS PADRES   ,SANTA MARIA     ,SISQUOC-1103                ,182811103,FUSE         ,1005,20180822,0950,20180822,1155,160163,125,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,1,125,34.89119,-120.29375,1 SP LS 1005                                                                                        ,Clear;32-90F                                                    ,Connector or Splice (OH)    ,"Broken, wire on ground      ",18-0072378,OH,Sus,Non 2/3  
CENTRAL COAST,MONTEREY        ,VIEJO-2204                  ,182852204,TRANSFORMER  ,411490346994,20190216,1150,20190216,1355,313897,125,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,8,"1,000",36.58870,-121.90058,MTR# 1008229394                                                                                     ,"Overcast,Drizzle;32-90 F                                        ",Secondary                   ,"Broken, wire on ground      ",19-0024526,OH,Sus,Non 2/3  
CENTRAL COAST,COAST           ,BIG BASIN-1101              ,082841101,FUSE         ,5467,20160317,2327,20160318,0131,1433553,124,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,7,868,37.12622,-122.12302,"STORMENT- 4178 / 831-278-0287: 12 Haven Lane, B.C.                                                  ",Clear;32-90 F                                                   ,Secondary                   ,"Broken, wire on ground      ",16-0022385,OH,Sus,Tier 3   
NORTH BAY    ,SILVERADO       ,NORTH TOWER-2204            ,042042204,OCB          ,2204/2                                            ,20161014,0745,20161014,0949,1558548,124,Distribution Circuit      ,Equipment Failure/Involved  ,"Fire, pole                           ","3,717","460,908",38.06652,-122.19604,116 CYRPRESS                                                                                        ,Overcast;32-90 F                                                ,Pole-Wood                   ,"Broken, wire on ground      ",16-0071977,OH,Sus,Non 2/3  
PENINSULA    ,PENINSULA       ,BELLEHAVEN-0407             ,024020407,OCB          ,407/2                                             ,20190803,1722,20190803,1926,482137,124,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,776,"93,709",37.47810,-122.16852,SW 2059                                                                                             ,Clear;32-90 F                                                   ,"Conductor, Overhead         ","Broken, wire on ground      ",19-0084067,OH,Sus,Non 2/3  
YOSEMITE     ,YOSEMITE        ,FIREBAUGH-1103              ,253471103,RECLOSER     ,3830,20190120,2059,20190120,2302,277734,123,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,238,"28,929",36.86553,-120.47187,R17417                                                                                              ,"Partly Cloudy,Drizzle;32-90 F                                   ",Pole-Wood                   ,"Broken, wire on ground      ",19-0012734,OH,Sus,Non 2/3  
PENINSULA    ,PENINSULA       ,BELLEHAVEN-0407             ,024020407,OTHER        ,                                                  ,20150131,1921,20150131,2123,1170778,122,Distribution Circuit      ,Equipment Failure/Involved  ,Other                                ,774,"34,049",37.47518,-122.17469,load side sw 2059                                                                                   ,Clear;32 - 90 F                                                 ,"Conductor, Overhead         ","Broken, wire on object      ",15-0008539,OH,Sus,Non 2/3  
EAST BAY     ,CENTRAL         ,OAKLAND X-1102              ,012541102,RECLOSER     ,CR122                                             ,20151111,1909,20151111,2111,1339712,122,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,"1,805","136,927",37.80814,-122.24549,CORNER OF WAYNE & STOW                                                                              ,Clear;32-90 F                                                   ,Connector or Splice (OH)    ,"Broken, wire on ground      ",15-0077268,OH,Sus,Non 2/3  
NORTH BAY    ,SILVERADO       ,VALLEJO B-1101              ,042451101,TRANSFORMER  ,219336716155,20151224,0848,20151224,1050,1370814,122,Transformer only          ,Equipment Failure/Involved  ,Overhead                             ,16,"1,952",38.11022,-122.23152,2001 INDIANA STVALLEJO94590                                                                         ,Clear;32-90 F                                                   ,Secondary                   ,"Broken, wire on ground      ",15-0087105,OH,Sus,Non 2/3  
KERN         ,KERN            ,TAFT-1101                   ,252081101,RECLOSER     ,89056,20170122,1005,20170122,1207,1660257,122,Distribution Circuit      ,Equipment Failure/Involved  ,Overhead                             ,53,"6,466",35.13334,-119.45212,W/OF 14293                                                                                          ,Overcast;32-90 F                                                ,"Conductor, Overhead         ","Broken, wire on ground      ",17-0013002,OH,Sus,Non 2/3  
